,Foods,Type,Restaurant
0,Idly,Veg,Sivagami
1,pongal,Veg,Sivagami
2,Rose milk,Cool drink,Famous
3,sandwitch,Chat,Moto Space
4, Filtter Coffe,Chat,Moto Space
5,Bajji ,Chat,Moto Space
6,Curd rice,Veg,Meenakshi mess
7,Veg briyani,Veg,Vani  villas
8,Veg Fried rice,Veg,Vani  villas
9,Half boil,Chat,Sivagami
10,Mushroom,Chat,Punjabi dhaba
11,Chpathi,veg,Sivagami
