,Foods,Type,Restaurant
0,Cake,Chat,Cake bee
1,Mojito,Cool drink,Moto space
2,Shawarma ,Chat,Mdu Shawarma
3,full Grill,Nonveg,BBQ
4,Fish fry,Nonveg,Muniyandi villas
5,Glob  jamun,Chat,prema villas
6,Halwa,Chat,Iruttu  kaddai
7,Chicken Gravy,Non veg,12'o clck
8,Bun parrota,Non veg,Muniyandi villas
9,Chicken fries,Non  veg,KFC
10,Maza,cool drink,Famous
